Provinsi;Tahun;IPM;Harapan Hidup
ACEH;2010;67.09;69.08
SUMATERA UTARA;2010;67.09;67.46
SUMATERA BARAT;2010;67.25;67.59
RIAU;2010;68.65;70.15
JAMBI;2010;65.39;69.89
SUMATERA SELATAN;2010;64.44;68.34
BENGKULU;2010;65.35;67.82
LAMPUNG;2010;63.71;68.91
KEP. BANGKA BELITUNG;2010;66.02;69.15
KEP. RIAU;2010;71.13;68.42
DKI JAKARTA;2010;76.31;71.71
JAWA BARAT;2010;66.15;71.29
JAWA TENGAH;2010;66.08;72.73
DI YOGYAKARTA;2010;75.37;74.17
JAWA TIMUR;2010;65.36;69.89
BANTEN;2010;67.54;68.5
BALI;2010;70.1;70.61
NUSA TENGGARA BARAT;2010;61.16;63.82
NUSA TENGGARA TIMUR;2010;59.21;65.28
KALIMANTAN BARAT;2010;61.97;69.06
KALIMANTAN TENGAH;2010;65.96;68.98
KALIMANTAN SELATAN;2010;65.2;66.65
KALIMANTAN TIMUR;2010;71.31;72.89
KALIMANTAN UTARA;2010;-;71.39
SULAWESI UTARA;2010;67.83;70.4
SULAWESI TENGAH;2010;63.29;66.07
SULAWESI SELATAN;2010;66;68.93
SULAWESI TENGGARA;2010;65.99;69.65
GORONTALO;2010;62.65;66.41
SULAWESI BARAT;2010;59.74;62.5
MALUKU;2010;64.27;64.46
MALUKU UTARA;2010;62.79;66.7
PAPUA BARAT;2010;59.6;64.59
PAPUA;2010;54.45;64.31
ACEH;2011;67.45;69.15
SUMATERA UTARA;2011;67.34;67.63
SUMATERA BARAT;2011;67.81;67.79
RIAU;2011;68.9;70.32
JAMBI;2011;66.14;70.04
SUMATERA SELATAN;2011;65.12;68.51
BENGKULU;2011;65.96;67.98
LAMPUNG;2011;64.2;69.12
KEP. BANGKA BELITUNG;2011;66.59;69.31
KEP. RIAU;2011;71.61;68.63
DKI JAKARTA;2011;76.98;71.87
JAWA BARAT;2011;66.67;71.56
JAWA TENGAH;2011;66.64;72.91
DI YOGYAKARTA;2011;75.93;74.26
JAWA TIMUR;2011;66.06;70.02
BANTEN;2011;68.22;68.68
BALI;2011;70.87;70.78
NUSA TENGGARA BARAT;2011;62.14;64.13
NUSA TENGGARA TIMUR;2011;60.24;65.45
KALIMANTAN BARAT;2011;62.35;69.26
KALIMANTAN TENGAH;2011;66.38;69.09
KALIMANTAN SELATAN;2011;65.89;66.88
KALIMANTAN TIMUR;2011;72.02;73.1
KALIMANTAN UTARA;2011;-;71.6
SULAWESI UTARA;2011;68.31;70.55
SULAWESI TENGAH;2011;64.27;66.39
SULAWESI SELATAN;2011;66.65;69.12
SULAWESI TENGGARA;2011;66.52;69.85
GORONTALO;2011;63.48;66.59
SULAWESI BARAT;2011;60.63;62.78
MALUKU;2011;64.75;64.61
MALUKU UTARA;2011;63.19;66.87
PAPUA BARAT;2011;59.9;64.75
PAPUA;2011;55.01;64.46
ACEH;2012;67.81;69.23
SUMATERA UTARA;2012;67.74;67.81
SUMATERA BARAT;2012;68.36;68
RIAU;2012;69.15;70.49
JAMBI;2012;66.94;70.19
SUMATERA SELATAN;2012;65.79;68.67
BENGKULU;2012;66.61;68.16
LAMPUNG;2012;64.87;69.33
KEP. BANGKA BELITUNG;2012;67.21;69.48
KEP. RIAU;2012;72.36;68.85
DKI JAKARTA;2012;77.53;72.03
JAWA BARAT;2012;67.32;71.82
JAWA TENGAH;2012;67.21;73.09
DI YOGYAKARTA;2012;76.15;74.36
JAWA TIMUR;2012;66.74;70.14
BANTEN;2012;68.92;68.86
BALI;2012;71.62;70.94
NUSA TENGGARA BARAT;2012;62.98;64.43
NUSA TENGGARA TIMUR;2012;60.81;65.64
KALIMANTAN BARAT;2012;63.41;69.46
KALIMANTAN TENGAH;2012;66.66;69.18
KALIMANTAN SELATAN;2012;66.68;67.11
KALIMANTAN TIMUR;2012;72.62;73.32
KALIMANTAN UTARA;2012;-;71.82
SULAWESI UTARA;2012;69.04;70.7
SULAWESI TENGAH;2012;65;66.7
SULAWESI SELATAN;2012;67.26;69.31
SULAWESI TENGGARA;2012;67.07;70.06
GORONTALO;2012;64.16;66.76
SULAWESI BARAT;2012;61.01;63.04
MALUKU;2012;65.43;64.77
MALUKU UTARA;2012;63.93;67.05
PAPUA BARAT;2012;60.3;64.88
PAPUA;2012;55.55;64.6
ACEH;2013;68.3;69.31
SUMATERA UTARA;2013;68.36;67.94
